Address,Balance
0xeEbf44Ce55F5484cc4B6750252A7b9Cb468fd414,59299000000000000000
0x0F0fe0408fc7613c9d177d820DE3e4154ce6135B,58426363047581804270
0x5A1E0e0dD09B1bfD94D29A2747BC11FF5F9C5A9a,57454368580162868340
0xf61a6eec1fB584B73661983F384a671F902523B1,57310338340219068416
0x86dfee33273038441b08527858365370f7A960e8,57256100956804558391
0xE4144fa867685a2269153170C669d11F4f238D19,55091019451643066878
0x18580b0E0836340E24496ea37739F36636F1efB5,54456000000000000000
0x99368bF786A012D67a32D68F8A6Da976deA02103,54254311011026407648
0xf42a339F93c1fA4c5D9ace33DB308A504E7B0bdE,5.347570669716799e+19
0x842F1bd01567d4F1825a1ebbB22c6627cE3586f0,53224610720309993718
0xBd56174c148B8675F41f07AC34E0ca0D6bB32879,52739000000000000000
0xD2347E85dE837378Acd3f02ccBF6653984942049,52000000000000000000
0x9de66635E7d8E06e3e9D37EEff248C0d747f9443,50870073032975751178
0x7fD0030D3D21d17Fb4056DE319faD67A853b3C20,5.076679890557041e+19
0x36FEe39920fB5DC096a3F0f47A00C8f3A294c334,50237283141137681369
0x5DAF078D5FBb08FaEffD34C5FD415f310977B441,50070909913015558971
0x11a416891C5d7a2066164a6edC3Bc3B478F47720,50000000000000000000
0xC39d5f66e1E65c9663F6172f61fcAEdb4aDFeCff,50000000000000000000
0xc44011CBEb3e3c5397576c9a5FB66DAA6dfc4307,50000000000000000000
0x05Aad9d4CF04a82815b67189d4c3AF5ec7Da2968,50000000000000000000
0x4970F7a02c658B44bCb33dE38810989C912af154,50000000000000000000
0xA9ED5dC21017Fa358Be3c45e1fBdE52512Ee6A7f,49970000000000000000
0x57168049b279B79846c5764F928F688C2cea9CeE,49946000000000000000
0x1FCad815290fF59b553913E377ddC272DCd92cED,49854871586880423517
0x523c00131eF14dFe144137088Fca435Cc38a697f,49694000000000000000
0x5fb356f277a3F987CA7485f77Bb60972FD57D091,48617967612152074159
0x8e494240cA786Ce19536C6c73Ac299370e531dFA,47929000000000000000
0xa30d997a1d64Cc31E5feEa9F336df0A133C74B97,47924000000000000000
0x2dc658C853432b497E615aC0DC6126ca30CcDd70,47144608791213033276
0xe6e163bF634C4e20c76920F2A7016b9831CC18eD,46104638353654307544
0x5b11156b722B438abA209119DD81a02c83bfBC87,45848248816547430371
0x38348ea8aE9881232E6b53ff0E105485bD85eAf5,44877205178835648435
0xffbc9c222609E6651DF9d75E97048dAd3052f903,44802465633859010359
0xC246752D544698B23B2735A9bd99e78c3cCEc5B6,43921431344093144082
0xC96D07d91E167949A8e14070215C5911Dc179614,43702664286484122968
0xC86BA44Ad1ab1D2329833a8E186B568e87295619,43367798813139213022
0xe04e4b50Aa9827B42a4Ea8e2D10e32D357778415,43340192798868498701
0x187E3534f461d7C59a7d6899a983A5305b48f93F,42859946940000000000
0x69d44fA4EbD0B1081c39859F4543c7c68F50523C,42767188905533672977
0x60BCb7fe344C5024Ab0ce07c63426D856afb2d39,41770113885030995802
0x9F3eeA0154b6d19AAF90146c674B5f47199335E4,41654720000000000000
0xeb210B49864ed96b261d179c060F14b691546bcc,41411176940003189482
0x5655FC94E524636D846Bf64e287f24830666B603,41222197447546448681
0xC40De1A5ff864fDF004e5Cf92386842cbf4449C8,41000000000000000000
0x87f69E4050C782A3710B2DeD0A44C17FD040B881,4.033853440617537e+19
0xb950e4DB911695bC4e3A239b6ca7CE4f7Cf38DA0,40337005780000000000
0xaA8C7598cdC417b172fcadAa3164286bbE655e81,40000000000000000000
0xF138e013367A38855e6feA4D7cdCcffC1D5673FD,40000000000000000000
0xCD20dC842287B2B8f1E471Bb59518BeE79b31628,38987554860426461184
0x38794EBD0A2ef0FeEc622BE7c1bf8eD9bAe3A7e7,38687087694567177928
0xA2b1542625bfc433E3Ee344c07A927CD5258e761,38471236586017963537
0x84c4b427C73FA3C8Fc068DF420E8910c7B1d851C,38091435730000000000
0x8a4bd88E7a0EB7210B8829Cde57BDBe506b99d96,38022460402800218590
0xfaD6D57666AFc34Aa60C034F630e5E86BB67967d,38006816682646016508
0x136C9b24233CdF9952DAE48aC64C771BCb3c9c7C,37965737091981240532
0xEf25C38F314cA1032d75228833a83bd3fD506483,37961535208801836728
0xB20AEE4537303d7147Be5a103F571Bf3Ca5181E2,37773965967452171481
0x51e38620dc17A950163d0552d78E7fB587CE89Ad,37643510000000000000
0xC689db3804EbE67A6389C22e437CDBdf512678fF,37399000000000000000
0xE4D3DF079FBEF6529c893Ee4E9298711d480fF35,37267163628196929241
0x60727c02034f4E2271374546D0CAb297aD1D7CE6,37162073100000000000
0x12f3A1D14774bBB8843f0d584b5fa81A6398382E,3.6856465720895173e+19
0xA438a9A593dd516225e7c03F16688D833beC096d,36785765153721060412
0xa64B6069CD630969253714E9a7e24D3f8455134D,35921000000000000000
0x7C074b20978d08B70e4b533c40790CB377edeC58,35895975603852441216
0x48fFe5363045b9a13344e9dDA9bb7E4C7025c8D1,35869158288537237681
0x1a6565FcB7fC22a2abA056B24d1b5C0A6750cBC5,35813000000000000000
0x2739B4764403057B388e6b2828e0c4f88ae215AC,35654006377268968785
0x453CaAFaa5f852CD432B6ab65af09050a26E4A92,35581090731320572153
0xC951f03a17f04fE08d61dA86E7dd808bD7EC5F04,35495974510000000000
0x587aa50f11b9e93DbF85D45A074B8E32E1341d52,35301000000000000000
0x3a308E8b358E603DBA9B3b6403EA91f4Bf47490d,35000000000000000000
0xb11565C2599CB7a5C224d4CC3258c32808073278,34796984531593282040
0x9F6E465B94fC2CCB507d39AF953e8a503afB2ddd,34487938608768981859
0xCa009eF88756245f926637Bf85A4aa7a1d30fD8B,34138058291303012133
0xC26D6393989acb806aCc71DB777A96b9a8A8a65f,34062253098618042070
0x4CA86AD4D5460c3adF4151702A4A2e37a8049857,33923746183485763584
0x23E83f131Df33f675ceDd6a05E0fb919CAa810eb,33750180000000000000
0xC3C8E0A39769e2308869f7461364ca48155D1d9E,33071716716843616168
