Address,Balance
0xF44B52C11b1c800722E8fDF4aa7F3076339E73c4,3.529056505416958e+20
0x8C93bc0ccC2824964860cBA99eAbad54b82e4960,3.509482189890042e+20
0x96236aDB640eC620A85898378375cEDf03ca21ff,3.466644053480895e+20
0xfe9BaE5f3a30746de18E59F6e6f9d600e90cFdD4,3.346212840628454e+20
0xF9A0106251467FFF1Ff03e8609aa74fc55A2a45E,3.296798030936441e+20
0x6a93946254899A34FdcB7fBf92dfd2e4eC1399e7,3.290390278012695e+20
0xC232247fcbC3285BAB034FD7286523f1d1530A70,3.111600863181092e+20
0x4e65175f05B4140a0747c29cce997CD4BB7190d4,3.045434076721851e+20
0x8c4BA49D0aDa8CaA233bb00670231bcAF20aE148,3.0251004018560054e+20
0x7c83B51c1feCf0631101DF8E7FF602D181A64e1b,3.005778837985831e+20
0xfE99Cb7011E55F1dD8C376f9134e24EF8a10B14d,2.9031636201178808e+20
0xA9C09f45b2bd1bbB3D7AC14506B7C9c9476A7649,2.6050682621732795e+20
0xa6E5cf0c6BAe494988A5583dB57FabB2C8b7aC7C,253633942161339421614
0x406cBFC2d391bEd42078138165465128b4E0CB06,250099999999983253788
0x9220910945de631FEec536748B56945d0fBFd2eE,2.422586845548813e+20
0x81ccdB7583E488691Ed79936f9ca84D1719514fD,2.390302385417663e+20
0x2fcDa75f0038D54BD0f0d88D5Db2a62EA298AF36,2.3725686847903967e+20
0x843Cf78Ca27baf000c14958251Bb0373D3855895,2.3722431962387697e+20
0x74d429B653748a56cB33531b26808b6D153670FD,2.3494913665832072e+20
0xe5A8654631B3729F73ca3503bA09a5d3e11b46da,2.325434836728174e+20
0x57ba83473A256b4702A8a6c739bB161b784EE10d,228073111588881402226
0x60d1DF05426B3d7400db3aEDa1824c287cf48BB0,2.2345469351636894e+20
0x546ea8D0D8e7cC4fA595e1Cc37FbdaDfb3576396,2.2246055134469335e+20
0x31F27A94C039236E6d9415528f4e0495BCFbAad0,2.206649597763955e+20
0xdcC333CcE887c856e7DE7afe683FDB4641C5f0ad,2.1870985855571463e+20
0x1C57e856eB45c7dFc715D4d6fF284fb06191fca3,2.1657050250853637e+20
